customer_id,frequency,monetary,category_diversity
1000247,22,179969,6
1000248,18,236168,6
1000249,63,684804,6
1000250,12,112588,6
1000251,41,414208,8
1000252,29,368795,3
1000253,29,258950,7
1000254,13,114234,6
1000255,130,1455520,13
1000256,56,860460,5
1000257,35,445132,10
1000258,76,783920,13
1000259,81,853248,12
1000260,90,1134519,4
1000261,218,2043759,15
1000262,62,639825,8
1000263,49,507106,9
1000264,275,2115392,17
1000265,53,414942,8
1000266,32,310213,10
1000267,78,590162,11
1000268,143,1248334,9
1000269,16,119678,6
1000270,75,922239,11
1000271,188,1975959,11
1000272,280,2852181,14
1000273,117,1240386,13
1000274,79,866188,9
1000275,53,544855,11
1000276,18,171897,8
1000277,16,176033,7
1000278,114,859983,6
1000279,27,234045,6
1000280,26,189891,3
1000281,65,596211,10
1000282,15,165095,7
1000283,18,244862,5
1000284,275,2253516,13
1000285,70,771976,11
1000286,25,246138,7
1000287,65,571098,10
1000289,36,457657,9
1000290,18,161040,5
1000291,55,468257,8
1000292,24,258693,7
1000293,176,1246978,13
1000294,19,127443,5
1000295,105,1200333,11
1000296,58,503233,10
1000297,48,578712,7
1000298,15,137272,7
1000299,64,717925,10
1000300,154,1789852,12
1000301,204,1969774,12
1000302,454,3225955,15
1000303,125,1090742,8
1000304,14,182842,5
1000305,93,510332,9
1000306,113,1181761,12
1000307,114,1324203,14
1000308,322,2790537,16
1000309,65,734933,11
1000310,122,932125,11
1000311,11,165653,3
1000312,31,258132,7
1000313,14,128572,8
1000314,174,1483498,17
1000315,12,84882,5
1000316,39,555750,9
1000317,13,120376,6
1000318,13,121960,6
1000319,420,3292557,15
1000320,8,91410,5
1000321,135,1363801,13
1000322,18,180252,6
1000323,60,556238,14
1000324,47,432511,12
1000325,26,195135,6
1000326,218,1774938,15
1000327,132,1257927,15
1000328,32,360181,5
1000329,447,3007097,15
1000330,41,461751,11
1000331,340,3269826,16
1000332,42,411182,7
1000333,137,867140,10
1000334,40,328953,6
1000335,96,775920,8
1000336,58,745283,11
1000337,100,1098232,10
1000338,203,2027171,15
1000339,71,626114,6
1000340,63,471450,12
1000341,11,138007,4
1000342,71,758556,9
1000343,157,1664154,18
1000344,54,531840,12
1000345,15,154703,5
1000346,174,1537496,11
1000347,60,511248,11
1000348,56,458613,9
1000349,155,1446070,10
1000350,34,364420,10
1000351,64,735489,7
1000352,487,4355896,17
1000353,14,170841,8
1000354,30,281002,8
1000355,251,2378946,12
1000356,13,142704,6
1000357,37,331204,11
1000359,21,207019,8
1000360,36,421379,7
1000361,11,77684,5
1000362,26,248504,7
1000363,27,308134,9
1000364,15,94626,6
1000365,27,184104,6
1000366,134,1410122,16
1000368,194,2040034,13
1000369,49,323035,5
1000370,36,383580,9
1000371,50,437078,7
1000372,79,1059484,7
1000373,19,209633,6
1000374,28,403295,8
1000375,31,299011,5
1000376,56,534975,11
1000377,78,920708,14
1000378,23,183133,6
1000379,41,382811,6
1000380,86,729418,9
1000381,19,259681,7
1000382,35,296761,8
1000383,14,117923,7
1000384,17,169138,5
1000385,73,840720,10
1000386,150,1161267,14
1000387,46,365501,9
1000388,36,283740,10
1000389,45,400856,8
1000390,124,946897,12
1000391,38,431481,12
1000392,268,2219577,14
1000393,40,335223,7
1000394,19,231657,3
1000395,10,65645,4
1000396,96,689518,8
1000397,21,234870,4
1000398,125,1257763,12
1000399,12,125042,5
1000400,23,223635,9
1000401,42,415368,8
1000402,160,1369174,11
1000403,167,1694874,11
1000404,31,291660,7
1000405,29,202171,7
1000406,78,721522,13
1000407,17,162159,5
1000408,90,1010392,16
1000409,163,1596446,12
1000410,60,458754,8
1000411,359,2617687,17
1000412,255,2709935,17
1000413,55,508477,8
1000414,37,283915,12
1000415,155,1397756,13
1000416,35,352175,8
1000417,16,171935,7
1000418,34,392719,5
1000419,64,642680,12
1000420,41,417124,9
1000421,11,133339,7
1000422,28,312281,11
1000423,38,243279,11
1000424,694,6573609,17
1000425,112,980360,11
1000426,133,1530944,13
1000427,13,127915,7
1000429,206,2001630,13
1000430,34,260170,6
1000431,44,442275,12
1000432,36,238459,6
1000433,28,188322,5
1000434,26,222709,8
1000435,71,939617,8
1000436,76,797161,11
1000437,33,355512,7
1000438,322,2792161,15
1000439,55,550292,10
1000440,15,155137,3
1000441,30,367148,9
1000442,245,2258560,15
1000443,22,249879,6
1000444,72,624479,12
1000445,161,1584585,15
1000446,31,327057,10
1000447,18,167098,6
1000448,12,100961,7
1000449,33,299601,7
1000450,28,256616,9
1000451,115,1175712,14
1000452,74,860396,11
1000453,227,2249709,13
1000454,148,1163925,14
1000455,14,139887,4
1000456,92,925531,14
1000457,141,1259025,13
1000458,23,232568,6
1000459,16,130631,7
1000460,23,134146,2
1000461,286,2533900,18
1000462,105,954229,12
1000463,69,400469,7
1000464,56,509284,12
1000465,17,130271,10
1000466,117,1121881,9
1000467,40,276787,10
1000468,19,162635,5
1000469,27,296089,10
1000470,34,217114,8
1000471,61,696651,12
1000473,33,274284,7
1000474,175,1533961,14
1000476,230,2418970,13
1000477,111,1455400,5
1000478,27,246159,9
1000479,51,528144,8
1000480,57,510684,7
1000481,104,970092,14
1000482,437,3539411,16
1000483,23,155651,8
1000484,19,165929,8
1000485,28,224072,6
1000486,26,223784,6
1000487,27,212744,10
1000488,15,149115,7
1000489,13,110421,5
1000490,43,429694,7
1000491,10,98030,5
1000492,15,111812,3
1000493,86,847881,12
1000495,26,288597,9
1000496,68,885377,12
1000497,18,147656,7
1000498,95,798943,13
1000499,119,1039288,12
1000500,53,351719,10
1000501,38,323774,11
1000502,15,133861,5
1000503,16,166198,6
1000504,52,542744,9
1000505,61,700756,10
1000506,52,456450,10
1000507,21,182769,7
1000508,80,867619,12
1000509,407,3700604,15
1000510,62,772191,9
1000511,14,129493,5
1000512,23,158309,6
1000513,81,649629,10
1000514,54,611777,12
1000515,81,816456,13
1000516,161,1211395,15
1000517,91,753403,12
1000518,135,1371614,12
1000519,29,217590,9
1000520,168,1525678,14
1000521,24,239839,10
1000522,30,354616,9
1000523,49,594269,6
1000524,558,5212846,16
1000525,24,245538,9
1000526,30,429409,4
1000527,12,86847,3
1000529,63,741420,11
1000530,62,721232,12
1000531,490,3662030,15
1000532,16,188041,7
1000533,325,2940570,15
1000534,55,543185,8
1000535,11,100277,9
1000536,122,1407088,13
1000538,30,379549,6
1000539,71,943076,6
1000540,24,225269,7
1000541,111,975026,12
1000543,346,3645949,16
1000544,48,471881,11
1000545,19,154036,8
1000546,129,898086,16
1000547,49,537942,10
1000548,71,587672,9
1000549,632,6310723,16
1000550,549,5327601,13
1000551,141,1186481,12
1000552,64,676472,12
1000553,38,271979,4
1000554,18,126678,6
1000555,29,285501,9
1000556,128,1042396,11
1000557,30,368912,11
1000559,11,96465,6
1000560,80,1116681,8
1000561,19,156604,9
1000562,19,250763,5
1000563,195,1587214,14
1000564,23,214222,9
1000565,14,100889,7
1000566,282,2114831,15
1000567,43,692946,5
1000568,17,213883,5
1000569,79,590043,6
1000570,144,1217950,10
1000571,69,799254,12
1000572,10,60789,7
1000573,22,216145,5
1000574,11,132332,5
1000575,95,1076873,11
1000576,37,383455,8
1000577,85,995681,7
1000578,14,155087,6
1000579,39,370959,7
1000580,24,260686,7
1000581,33,282311,8
1000582,45,486957,8
1000583,101,994853,13
1000584,22,252795,7
1000585,85,885031,12
1000586,17,245578,8
1000587,200,1363990,13
1000588,262,2439560,17
1000589,17,157733,6
1000590,99,971034,12
1000591,130,1046568,13
1000592,14,234872,4
1000593,52,395559,6
1000594,90,705129,7
1000595,58,543857,8
1000596,23,163720,9
1000597,32,322597,8
1000598,18,160192,9
1000599,18,163975,7
1000600,17,138725,7
1000601,212,1648223,15
1000602,88,912293,12
1000603,37,376503,6
1000604,171,1807135,13
1000605,64,700407,13
1000606,21,181525,5
1000607,10,116019,4
1000608,90,718566,10
1000609,27,418486,5
1000610,70,672522,12
1000611,73,778813,10
1000612,29,304029,9
1000613,50,406846,9
1000615,54,708327,10
1000616,27,304304,9
1000617,15,138586,5
1000618,30,227620,8
1000619,18,137325,5
1000620,94,751094,10
1000622,41,394866,11
1000623,88,1066019,11
1000624,212,2126253,16
1000625,22,168018,7
1000626,41,499249,8
1000627,24,235462,8
1000628,26,190723,6
1000629,129,982182,10
1000630,67,533034,11
1000631,180,1709733,14
1000632,16,198885,4
1000633,29,276233,7
1000634,47,397746,7
1000635,85,764450,8
1000636,56,677625,10
1000637,200,1859809,16
1000638,48,540502,11
1000639,217,2205672,15
1000640,14,131545,7
1000641,74,704608,9
1000642,18,180949,10
1000643,38,231193,9
1000644,64,551849,10
1000645,28,306771,10
1000646,150,1824299,14
1000647,128,1188757,6
1000648,100,908693,11
1000649,43,470229,11
1000650,27,353832,4
1000651,282,2690864,16
1000652,76,680293,10
1000653,15,111776,4
1000654,115,1125876,8
1000655,227,1416120,9
1000656,94,872746,15
1000657,32,281715,7
1000658,60,436699,12
1000659,66,541914,8
1000661,41,539307,7
1000662,65,581960,10
1000663,57,652623,8
1000664,95,940371,14
1000665,17,122217,6
1000666,63,571074,12
1000667,104,820045,8
1000668,23,263331,7
1000669,243,2553500,12
1000670,55,408086,14
1000671,88,987638,12
1000672,25,318478,7
1000673,215,1527383,11
1000674,51,695104,11
1000675,24,154311,7
1000676,221,1657010,10
1000677,109,976018,14
1000678,559,4998133,17
1000679,47,519796,10
1000680,21,187350,5
1000681,21,220000,6
1000682,47,558836,13
1000683,23,284790,5
1000685,80,621455,10
1000686,14,146182,5
1000687,183,1663970,15
1000688,21,189431,5
1000689,72,609105,11
1000690,106,1088071,14
1000691,61,603718,12
1000692,343,3630189,17
1000693,39,416518,11
1000694,18,137199,7
1000695,121,1097834,12
1000697,76,652657,10
1000698,136,1319767,15
1000700,19,226527,8
1000701,42,350283,8
1000702,258,1994097,11
1000703,12,102328,8
1000704,39,320894,8
1000705,74,684297,10
1000706,77,575543,5
1000707,36,401749,8
1000708,6,58625,6
1000709,49,272784,6
1000710,500,4647555,15
1000711,84,847538,11
1000712,165,1789875,13
1000713,137,1379308,14
1000714,240,2766413,13
1000715,55,550777,14
1000717,23,191972,10
1000718,92,931448,10
1000719,18,137902,5
1000720,128,1099069,13
1000721,358,3513729,14
1000722,32,319721,8
1000723,13,117807,8
1000724,78,783550,8
1000725,36,377891,8
1000726,41,317086,6
1000727,146,1211978,12
1000728,95,727954,7
1000729,92,1164036,8
1000730,34,357978,5
1000731,354,2708798,13
1000732,92,851948,10
1000733,63,613928,11
1000734,25,202452,8
1000735,211,1989971,14
1000736,73,770661,10
1000737,129,1268781,12
1000738,24,228810,7
1000739,77,952905,11
1000740,24,249478,8
1000741,43,270881,5
1000742,23,291407,10
1000743,76,566838,9
1000744,150,1590080,11
1000745,13,99920,6
1000746,245,1964817,11
1000747,19,246522,5
1000748,48,449478,10
1000749,251,1991515,16
1000750,32,301150,5
1000751,17,167733,7
1000752,572,3917492,17
1000753,138,1220645,11
1000754,101,1089328,13
1000755,71,709951,11
1000756,22,257775,5
1000757,267,2295741,12
1000758,21,191372,5
1000759,58,405079,9
1000760,30,300758,11
1000761,12,154001,5
1000762,23,280667,5
1000763,15,168970,7
1000764,80,901215,13
1000765,214,2157012,13
1000766,26,203258,4
1000767,96,995674,14
1000768,31,348216,10
1000769,41,393535,12
1000770,428,3391044,17
1000771,13,116906,7
1000772,56,560484,10
1000773,27,259351,8
1000774,123,1215237,13
1000775,12,108504,4
1000776,59,442338,11
1000777,271,1963785,13
1000778,94,1214811,7
1000779,28,215086,9
1000780,295,3035908,15
1000782,16,154246,8
1000783,72,880507,8
1000784,16,136635,5
1000785,64,789149,4
1000786,38,489448,9
1000787,62,560053,8
1000788,114,1129232,11
1000789,59,528098,10
1000790,10,143636,3
1000791,184,1932290,13
1000792,55,529174,12
1000793,85,768741,13
1000794,25,194747,3
1000795,80,559717,8
1000796,240,1875821,14
1000797,47,387593,6
1000798,185,1530451,11
1000799,23,226774,8
1000801,165,1374553,14
1000802,295,3136298,15
1000803,31,428406,3
1000804,22,201161,8
1000805,48,407088,7
1000806,36,442504,10
1000807,16,152576,6
1000808,162,1282348,8
1000809,55,505430,9
1000810,73,833537,7
1000811,37,392815,9
1000812,49,458736,11
1000813,35,210764,6
1000814,22,270810,6
1000816,122,1096272,14
1000817,227,2439290,14
1000818,95,957886,11
1000819,32,403519,8
1000820,65,730066,10
1000821,11,82484,6
1000822,169,1298873,13
1000823,69,573436,7
1000824,179,1537297,16
1000825,21,151520,7
1000826,18,178480,5
1000827,14,133845,6
1000828,67,523285,11
1000829,84,982611,14
1000830,96,912814,15
1000831,23,273297,8
1000832,101,675540,7
1000833,12,126865,5
1000834,32,312523,10
1000835,15,113584,7
1000836,42,209372,8
1000837,39,420822,8
1000838,95,1062593,11
1000839,435,4681205,17
1000840,138,1263144,14
1000841,15,125438,4
1000842,17,162002,7
1000843,66,541222,7
1000844,51,478752,14
1000845,30,282390,8
1000846,139,1438458,14
1000847,30,194540,3
1000848,31,347165,8
1000849,70,429999,7
1000850,294,2589159,17
1000851,46,512182,10
1000852,16,139975,6
1000853,60,775391,5
1000854,291,2171385,15
1000855,339,2523778,16
1000856,31,291934,7
1000857,41,396537,11
1000858,108,1054410,12
1000859,85,717830,13
1000860,21,139334,5
1000861,54,456026,8
1000862,65,536555,11
1000863,38,573792,7
1000864,68,619706,13
1000865,28,325815,4
1000866,18,158901,7
1000867,27,234652,11
1000868,42,267776,6
1000869,497,4255176,15
1000870,20,130403,6
1000871,27,274355,8
1000872,60,603122,14
1000873,100,941438,13
1000874,14,96829,6
1000875,44,432366,8
1000876,65,818160,9
1000877,356,3368150,14
1000878,24,274379,9
1000879,28,230694,6
1000880,64,690889,9
1000881,527,4054485,17
1000882,45,632518,8
1000883,22,175724,4
1000884,55,615705,10
1000885,33,367837,10
1000886,23,190384,8
1000887,54,468896,9
1000888,47,492236,6
1000889,823,5499872,19
1000890,120,1312940,15
1000891,132,1246592,17
1000892,16,178414,6
1000894,40,520020,10
1000895,39,281695,9
1000896,41,366027,9
1000897,101,974990,11
1000898,14,146304,4
1000899,187,1467700,13
1000900,15,102937,4
1000901,16,111505,6
1000902,10,120497,6
1000903,49,424531,9
1000904,143,1226842,13
1000905,76,828359,11
1000906,12,92214,4
1000907,15,175660,6
1000908,20,184252,6
1000909,45,469009,11
1000910,96,864312,14
1000911,312,3102034,15
1000912,34,282647,8
1000913,27,288043,6
1000914,34,303251,9
1000915,51,441432,6
1000916,30,349993,8
1000917,22,273438,4
1000918,78,562221,9
1000919,178,1604795,10
1000920,52,542161,10
1000921,88,855629,10
1000922,208,2096679,14
1000923,27,199197,3
1000924,109,1139632,12
1000925,40,264810,8
1000926,65,703571,10
1000927,111,751040,8
1000928,128,1223808,13
1000929,198,1951310,14
1000930,53,549999,8
1000931,88,788775,10
1000932,10,121848,5
1000933,33,309642,7
1000934,283,1952022,11
1000936,48,449050,9
1000937,202,2182748,16
1000939,96,900006,11
1000940,76,607331,10
1000941,19,110552,5
1000942,16,146316,5
1000943,43,409682,8
1000944,29,289863,9
1000945,102,916637,10
1000946,19,204398,9
1000947,9,62826,4
1000949,208,2737633,12
1000950,32,329631,8
1000951,14,158099,5
1000952,97,848839,11
1000953,119,1532454,16
1000954,70,633417,13
1000955,180,1800422,15
1000956,59,560005,12
1000957,177,1782588,16
1000958,80,785753,13
1000959,54,556160,11
1000960,67,671146,9
1000961,26,231858,7
1000962,29,303766,9
1000963,239,2166829,12
1000964,38,277524,7
1000965,31,300739,9
1000966,88,702763,12
1000967,57,375706,7
1000968,34,347033,9
1000969,16,179103,7
1000970,287,2740505,13
1000971,127,1272979,11
1000972,21,185059,8
1000973,115,880686,10
1000974,38,409260,6
1000975,230,2039720,17
1000976,33,308773,9
1000977,153,1461912,14
1000978,20,187750,8
1000979,43,545760,7
1000980,74,648108,12
1000981,117,961178,13
1000982,31,263937,7
1000983,41,526888,7
1000984,385,3393955,18
1000985,92,1207140,12
1000986,10,64636,3
1000987,98,860607,12
1000988,40,346054,7
1000989,26,206362,11
1000990,54,492476,8
1000991,34,253223,10
1000992,21,146216,5
1000993,36,303318,9
1000995,32,237680,6
1000996,169,2012621,15
1000997,17,165351,7
1000998,85,829402,9
1000999,231,2312495,6
1001000,52,719291,6
1001002,35,333246,7
1001003,17,213990,6
1001004,269,2406102,6
1001005,54,672401,12
1001006,23,222013,8
1001008,30,264365,7
1001009,29,260814,7
1001010,575,3770941,16
1001011,25,259539,8
1001012,33,260041,8
1001013,28,221755,7
1001015,740,6511314,19
1001016,88,724997,9
1001017,312,2306041,16
1001018,70,863450,9
1001019,517,3786677,15
1001021,86,993817,11
1001022,78,585434,10
1001023,22,164556,8
1001024,25,187525,8
1001025,22,196993,9
1001026,27,340061,6
1001027,26,261249,5
1001028,36,307279,7
1001029,161,1096528,10
1001030,90,1187018,3
1001031,101,1486649,10
1001032,57,542563,11
1001033,106,970506,12
1001035,63,616438,7
1001036,33,341392,8
1001037,19,140292,4
1001038,77,673318,14
1001039,15,89488,6
1001040,136,1447480,12
1001041,53,593181,13
1001042,27,206519,8
1001043,23,263619,8
1001044,78,731594,12
1001045,18,85482,5
1001046,18,189234,5
1001047,42,548784,7
1001048,25,210284,5
1001049,14,127723,5
1001050,297,2128292,13
1001051,486,4003498,17
1001052,44,452110,11
1001053,210,2179724,15
1001054,70,690207,6
1001055,50,378094,9
1001056,44,329556,6
1001057,92,943918,14
1001058,199,2114670,13
1001059,305,1993125,13
1001060,51,557358,7
1001061,26,244118,9
1001062,117,1174704,15
1001063,55,697671,12
1001064,58,619392,7
1001065,55,424186,7
1001066,74,609772,10
1001067,55,587122,11
1001068,341,2839401,13
1001069,355,2503980,10
1001070,12,135687,5
1001071,78,995665,11
1001072,62,564641,12
1001073,65,613353,10
1001074,99,812544,12
1001075,26,315665,9
1001076,27,214123,6
1001077,177,1766607,16
1001078,65,518491,10
1001079,75,788064,9
1001080,31,270548,9
1001081,25,275184,6
1001083,14,98430,7
1001084,105,955458,11
1001085,21,187922,7
1001086,174,1891268,9
1001087,233,2229949,16
1001088,680,5628655,17
1001089,42,503267,10
1001090,44,434848,8
1001091,18,157346,6
1001092,28,286256,9
1001093,40,503654,2
1001094,101,894377,12
1001095,16,129914,3
1001096,137,863890,14
1001097,89,868582,9
1001098,18,191883,9
1001099,107,1004085,10
1001100,279,1352196,5
1001101,298,2685259,16
1001102,15,64520,8
1001103,41,330845,8
1001104,36,320630,8
1001106,43,459086,11
1001107,47,314641,10
1001108,25,244289,7
1001109,118,892989,8
1001110,28,276009,6
1001111,18,161549,6
1001112,377,3237946,17
1001113,180,1977904,13
1001114,81,595105,9
1001115,58,450241,10
1001116,82,639799,5
1001117,431,4315927,16
1001118,16,122962,5
1001119,234,2399110,13
1001120,402,3591478,17
1001121,154,1537625,12
1001122,65,649956,11
1001124,227,2110422,15
1001125,344,2877834,16
1001126,14,122956,6
1001127,75,756536,11
1001128,286,2290727,17
1001129,65,700787,9
1001130,159,1578763,16
1001131,54,625170,10
1001132,93,1324366,14
1001133,93,1022810,9
1001134,85,1008845,9
1001135,102,1248725,13
1001136,28,279637,7
1001137,299,2709477,16
1001138,50,463795,8
1001139,108,1140991,11
1001140,195,1781365,16
1001141,266,1942035,15
1001142,149,1263960,10
1001143,29,284304,8
1001144,14,141744,5
1001145,36,267263,11
1001146,223,1608693,13
1001147,178,1559739,15
1001148,34,250020,6
1001149,52,479990,8
1001150,752,4728932,16
1001151,181,1929222,12
1001152,82,675117,10
1001153,50,283359,10
1001154,17,151803,8
1001155,105,1186426,9
1001156,43,335260,7
1001157,13,161466,4
1001158,41,323356,7
1001159,75,630441,11
1001160,61,475062,11
1001161,54,503196,13
1001162,100,895807,12
1001163,38,449255,6
1001164,267,1925578,13
1001165,81,819886,12
1001166,13,130727,4
1001167,42,306847,9
1001168,138,1062132,9
1001169,65,374677,6
1001170,146,1320132,17
1001171,20,226676,8
1001172,261,2101258,16
1001173,206,1569381,10
1001174,16,108563,6
1001175,37,315057,7
1001176,75,905104,11
1001177,41,398957,9
1001178,18,124043,6
1001179,135,1436625,13
1001180,23,230895,9
1001181,862,6387961,19
1001182,207,1804464,17
1001183,113,970956,13
1001184,155,1368452,8
1001185,47,360653,9
1001186,119,1202425,13
1001187,21,152084,7
1001188,15,226427,3
1001189,20,208527,8
1001190,17,178301,5
1001191,62,743768,11
1001192,15,139860,7
1001193,153,1129576,10
1001194,367,3041966,15
1001195,53,387824,7
1001196,62,545174,9
1001197,15,167477,8
1001198,61,659844,10
1001199,104,951485,14
1001200,24,260748,8
1001201,37,354776,9
1001202,279,2654016,16
1001203,447,4179027,16
1001204,70,679664,11
1001205,54,403786,5
1001206,69,767566,8
1001208,30,249937,10
1001209,135,1180229,13
1001210,25,320125,8
1001211,235,2347688,15
1001212,38,463157,7
1001213,18,179133,5
1001214,27,184586,7
1001215,64,859580,11
1001216,101,1181635,11
1001217,34,381912,7
1001218,120,1093139,17
1001219,134,1662783,11
1001220,108,920860,9
1001221,132,1273041,10
1001222,41,309290,9
1001223,75,726709,13
1001224,338,3286428,16
1001225,14,154407,6
1001226,18,120297,6
1001227,76,680959,10
1001228,137,1434122,15
1001229,18,143617,6
1001230,148,1700665,13
1001231,59,653641,11
1001232,69,562722,8
1001233,34,370097,9
1001234,11,175458,6
1001235,34,256097,5
1001236,17,195097,5
1001237,16,142872,7
1001238,30,241398,7
1001239,50,487870,9
1001240,14,134342,6
1001241,116,1173447,13
1001242,362,3048547,16
1001243,207,1818755,15
1001244,296,3056483,12
1001246,337,3477038,16
1001247,18,228690,8
1001248,59,607552,10
1001249,13,171624,5
1001250,14,145794,7
1001251,30,207237,5
1001252,77,717733,8
1001253,39,269686,6
1001254,66,545376,7
1001255,146,1251705,12
1001256,16,176868,7
1001257,25,276955,4
1001258,24,360940,8
1001259,34,384656,9
1001260,283,2678394,16
1001261,115,1118316,14
1001262,101,771592,8
1001263,169,1121150,11
1001264,405,3888792,18
1001265,189,1392026,14
1001266,407,3194568,16
1001267,94,908750,13
1001268,111,1207532,15
1001269,16,134732,7
1001270,16,122944,5
1001271,95,949418,9
1001272,154,1451777,13
1001273,202,1773658,15
1001274,347,3293478,18
1001275,14,141776,6
1001276,41,337409,5
1001277,20,127418,5
1001278,36,380799,8
1001279,197,1362801,15
