customer_id,frequency,monetary,r_score,f_score,m_score,segment
1000106,31,249390,4,2,2,Potential
1000107,65,578540,3,3,3,Loyal
1000108,14,120872,5,1,1,Potential
1000109,44,468810,3,3,3,Loyal
1000110,41,435598,3,3,3,Loyal
1000111,55,521270,3,3,3,Loyal
1000112,30,413240,4,2,3,Potential
1000113,36,360080,4,2,2,Potential
1000114,52,418019,3,3,3,Loyal
1000116,55,590875,3,3,3,Loyal
1000117,283,2742646,1,5,5,At Risk
1000118,119,1301643,2,4,4,At Risk
1000119,57,420927,3,3,3,Loyal
1000120,33,344419,4,2,2,Potential
1000121,41,586434,3,3,3,Loyal
1000122,26,271183,4,2,2,Potential
1000123,352,3237092,1,5,5,At Risk
1000124,15,135998,5,1,1,Potential
1000125,36,504628,4,2,3,Potential
1000126,30,333612,4,2,2,Potential
1000127,100,1171261,2,4,4,At Risk
1000128,13,139414,5,1,1,Potential
1000129,85,1254181,2,4,4,At Risk
1000130,80,1274878,2,4,4,At Risk
1000131,153,1271991,1,5,4,At Risk
1000132,45,345438,3,3,2,Loyal
1000133,93,801864,2,4,4,At Risk
1000134,102,877630,2,4,4,At Risk
1000135,39,360650,4,2,2,Potential
1000136,227,1562462,1,5,5,At Risk
1000137,125,1273519,2,4,4,At Risk
1000138,37,593148,4,2,3,Potential
1000139,137,1500574,2,4,5,At Risk
1000140,33,329084,4,2,2,Potential
1000141,13,115058,5,1,1,Potential
1000142,34,301459,4,2,2,Potential
1000143,37,375743,4,2,2,Potential
1000144,22,234047,5,1,2,Potential
1000145,29,195522,4,2,1,Potential
1000146,238,2257255,1,5,5,At Risk
1000147,95,1094887,2,4,4,At Risk
1000148,339,3617294,1,5,5,At Risk
1000149,334,3775096,1,5,5,At Risk
1000150,135,1226295,2,4,4,At Risk
1000151,283,2560797,1,5,5,At Risk
1000152,18,129138,5,1,1,Potential
1000153,15,125304,5,1,1,Potential
1000154,35,281466,4,2,2,Potential
1000155,54,360236,3,3,2,Loyal
1000156,77,689084,2,4,3,At Risk
1000157,217,2228762,1,5,5,At Risk
1000158,15,185073,5,1,1,Potential
1000159,24,224129,4,2,2,Potential
1000160,10,84580,5,1,1,Potential
1000161,184,1884662,1,5,5,At Risk
1000162,55,686358,3,3,3,Loyal
1000163,271,1633731,1,5,5,At Risk
1000164,18,155793,5,1,1,Potential
1000165,57,602989,3,3,3,Loyal
1000166,217,2073193,1,5,5,At Risk
1000167,29,187087,4,2,1,Potential
1000168,14,134698,5,1,1,Potential
1000169,313,2850607,1,5,5,At Risk
1000170,43,537867,3,3,3,Loyal
1000171,15,208924,5,1,2,Potential
1000172,15,213016,5,1,2,Potential
1000173,315,3204716,1,5,5,At Risk
1000174,56,763377,3,3,4,Loyal
1000175,171,1459135,1,5,5,At Risk
1000176,40,319685,4,2,2,Potential
1000177,31,390156,4,2,3,Potential
1000178,67,540659,3,3,3,Loyal
1000179,67,486867,3,3,3,Loyal
1000180,31,258592,4,2,2,Potential
1000181,170,1788678,1,5,5,At Risk
1000182,54,490892,3,3,3,Loyal
1000183,64,660777,3,3,3,Loyal
1000184,53,572948,3,3,3,Loyal
1000185,32,435741,4,2,3,Potential
1000186,59,652367,3,3,3,Loyal
1000187,244,2253141,1,5,5,At Risk
1000188,42,402282,3,3,3,Loyal
1000189,20,209997,5,1,2,Potential
1000190,81,778581,2,4,4,At Risk
1000191,17,117371,5,1,1,Potential
1000192,285,2405988,1,5,5,At Risk
1000193,137,1192531,2,4,4,At Risk
1000194,36,261927,4,2,2,Potential
1000195,467,4532026,1,5,5,At Risk
1000196,20,227705,5,1,2,Potential
1000197,17,143662,5,1,1,Potential
1000198,208,2114755,1,5,5,At Risk
1000199,207,1825465,1,5,5,At Risk
1000200,15,129710,5,1,1,Potential
1000201,52,465427,3,3,3,Loyal
1000202,379,3195955,1,5,5,At Risk
1000203,65,389087,3,3,3,Loyal
1000204,246,2424484,1,5,5,At Risk
1000205,84,923914,2,4,4,At Risk
1000206,16,152712,5,1,1,Potential
1000207,13,113722,5,1,1,Potential
1000208,108,1110185,2,4,4,At Risk
1000209,14,86769,5,1,1,Potential
1000210,58,883230,3,3,4,Loyal
1000211,21,224683,5,1,2,Potential
1000212,68,679386,3,3,3,Loyal
1000213,10,98185,5,1,1,Potential
1000214,94,751975,2,4,4,At Risk
1000215,16,237988,5,1,2,Potential
1000216,430,3140868,1,5,5,At Risk
1000217,14,144915,5,1,1,Potential
1000218,50,381736,3,3,2,Loyal
1000219,22,175671,5,1,1,Potential
1000220,57,620991,3,3,3,Loyal
1000221,19,130967,5,1,1,Potential
1000222,39,428449,4,2,3,Potential
1000223,131,1125900,2,4,4,At Risk
1000225,293,2483266,1,5,5,At Risk
1000226,10,93001,5,1,1,Potential
1000227,17,165449,5,1,1,Potential
1000228,22,233041,5,1,2,Potential
1000229,115,910223,2,4,4,At Risk
1000230,100,1071526,2,4,4,At Risk
1000231,55,627709,3,3,3,Loyal
1000232,55,413883,3,3,3,Loyal
1000233,28,273514,4,2,2,Potential
1000234,21,198175,5,1,1,Potential
1000235,268,2682668,1,5,5,At Risk
1000236,32,373171,4,2,2,Potential
1000237,89,660317,2,4,3,At Risk
1000238,140,1188533,2,4,4,At Risk
1000239,39,373618,4,2,2,Potential
1000240,86,854532,2,4,4,At Risk
1000241,28,335346,4,2,2,Potential
1000242,166,1533999,1,5,5,At Risk
1000243,14,107183,5,1,1,Potential
1000244,51,541992,3,3,3,Loyal
1000245,435,2958852,1,5,5,At Risk
1000246,15,135040,5,1,1,Potential
1000247,22,179969,5,1,1,Potential
1000248,18,236168,5,1,2,Potential
1000249,63,684804,3,3,3,Loyal
1000250,12,112588,5,1,1,Potential
1000251,41,414208,3,3,3,Loyal
1000252,29,368795,4,2,2,Potential
1000253,29,258950,4,2,2,Potential
1000254,13,114234,5,1,1,Potential
1000255,130,1455520,2,4,5,At Risk
1000256,56,860460,3,3,4,Loyal
1000257,35,445132,4,2,3,Potential
1000258,76,783920,2,4,4,At Risk
1000259,81,853248,2,4,4,At Risk
1000260,90,1134519,2,4,4,At Risk
1000261,218,2043759,1,5,5,At Risk
1000262,62,639825,3,3,3,Loyal
1000263,49,507106,3,3,3,Loyal
1000264,275,2115392,1,5,5,At Risk
1000265,53,414942,3,3,3,Loyal
1000266,32,310213,4,2,2,Potential
1000267,78,590162,2,4,3,At Risk
1000268,143,1248334,1,5,4,At Risk
1000269,16,119678,5,1,1,Potential
1000270,75,922239,2,4,4,At Risk
1000271,188,1975959,1,5,5,At Risk
1000272,280,2852181,1,5,5,At Risk
1000273,117,1240386,2,4,4,At Risk
1000274,79,866188,2,4,4,At Risk
1000275,53,544855,3,3,3,Loyal
1000276,18,171897,5,1,1,Potential
1000277,16,176033,5,1,1,Potential
1000278,114,859983,2,4,4,At Risk
1000279,27,234045,4,2,2,Potential
1000280,26,189891,4,2,1,Potential
1000281,65,596211,3,3,3,Loyal
1000282,15,165095,5,1,1,Potential
1000283,18,244862,5,1,2,Potential
1000284,275,2253516,1,5,5,At Risk
1000285,70,771976,3,3,4,Loyal
1000286,25,246138,4,2,2,Potential
1000287,65,571098,3,3,3,Loyal
1000289,36,457657,4,2,3,Potential
1000290,18,161040,5,1,1,Potential
1000291,55,468257,3,3,3,Loyal
1000292,24,258693,4,2,2,Potential
1000293,176,1246978,1,5,4,At Risk
1000294,19,127443,5,1,1,Potential
1000295,105,1200333,2,4,4,At Risk
1000296,58,503233,3,3,3,Loyal
1000297,48,578712,3,3,3,Loyal
1000298,15,137272,5,1,1,Potential
1000299,64,717925,3,3,4,Loyal
1000300,154,1789852,1,5,5,At Risk
1000301,204,1969774,1,5,5,At Risk
1000302,454,3225955,1,5,5,At Risk
1000303,125,1090742,2,4,4,At Risk
1000304,14,182842,5,1,1,Potential
1000305,93,510332,2,4,3,At Risk
1000306,113,1181761,2,4,4,At Risk
1000307,114,1324203,2,4,4,At Risk
1000308,322,2790537,1,5,5,At Risk
1000309,65,734933,3,3,4,Loyal
1000310,122,932125,2,4,4,At Risk
1000311,11,165653,5,1,1,Potential
1000312,31,258132,4,2,2,Potential
1000313,14,128572,5,1,1,Potential
1000314,174,1483498,1,5,5,At Risk
1000315,12,84882,5,1,1,Potential
1000316,39,555750,4,2,3,Potential
1000317,13,120376,5,1,1,Potential
1000318,13,121960,5,1,1,Potential
1000319,420,3292557,1,5,5,At Risk
1000320,8,91410,5,1,1,Potential
1000321,135,1363801,2,4,5,At Risk
1000322,18,180252,5,1,1,Potential
1000323,60,556238,3,3,3,Loyal
1000324,47,432511,3,3,3,Loyal
1000325,26,195135,4,2,1,Potential
1000326,218,1774938,1,5,5,At Risk
1000327,132,1257927,2,4,4,At Risk
1000328,32,360181,4,2,2,Potential
1000329,447,3007097,1,5,5,At Risk
1000330,41,461751,3,3,3,Loyal
1000331,340,3269826,1,5,5,At Risk
1000332,42,411182,3,3,3,Loyal
1000333,137,867140,2,4,4,At Risk
1000334,40,328953,4,2,2,Potential
1000335,96,775920,2,4,4,At Risk
1000336,58,745283,3,3,4,Loyal
1000337,100,1098232,2,4,4,At Risk
1000338,203,2027171,1,5,5,At Risk
1000339,71,626114,3,3,3,Loyal
1000340,63,471450,3,3,3,Loyal
1000341,11,138007,5,1,1,Potential
1000342,71,758556,3,3,4,Loyal
1000343,157,1664154,1,5,5,At Risk
1000344,54,531840,3,3,3,Loyal
1000345,15,154703,5,1,1,Potential
1000346,174,1537496,1,5,5,At Risk
1000347,60,511248,3,3,3,Loyal
1000348,56,458613,3,3,3,Loyal
1000349,155,1446070,1,5,5,At Risk
1000350,34,364420,4,2,2,Potential
1000351,64,735489,3,3,4,Loyal
1000352,487,4355896,1,5,5,At Risk
1000353,14,170841,5,1,1,Potential
1000354,30,281002,4,2,2,Potential
1000355,251,2378946,1,5,5,At Risk
1000356,13,142704,5,1,1,Potential
1000357,37,331204,4,2,2,Potential
1000359,21,207019,5,1,2,Potential
1000360,36,421379,4,2,3,Potential
1000361,11,77684,5,1,1,Potential
1000362,26,248504,4,2,2,Potential
1000363,27,308134,4,2,2,Potential
1000364,15,94626,5,1,1,Potential
1000365,27,184104,4,2,1,Potential
1000366,134,1410122,2,4,5,At Risk
1000368,194,2040034,1,5,5,At Risk
1000369,49,323035,3,3,2,Loyal
1000370,36,383580,4,2,3,Potential
1000371,50,437078,3,3,3,Loyal
1000372,79,1059484,2,4,4,At Risk
1000373,19,209633,5,1,2,Potential
1000374,28,403295,4,2,3,Potential
1000375,31,299011,4,2,2,Potential
1000376,56,534975,3,3,3,Loyal
1000377,78,920708,2,4,4,At Risk
1000378,23,183133,4,2,1,Potential
1000379,41,382811,3,3,2,Loyal
1000380,86,729418,2,4,4,At Risk
1000381,19,259681,5,1,2,Potential
1000382,35,296761,4,2,2,Potential
1000383,14,117923,5,1,1,Potential
1000384,17,169138,5,1,1,Potential
1000385,73,840720,2,4,4,At Risk
1000386,150,1161267,1,5,4,At Risk
1000387,46,365501,3,3,2,Loyal
1000388,36,283740,4,2,2,Potential
1000389,45,400856,3,3,3,Loyal
1000390,124,946897,2,4,4,At Risk
1000391,38,431481,4,2,3,Potential
1000392,268,2219577,1,5,5,At Risk
1000393,40,335223,4,2,2,Potential
1000394,19,231657,5,1,2,Potential
1000395,10,65645,5,1,1,Potential
1000396,96,689518,2,4,3,At Risk
1000397,21,234870,5,1,2,Potential
1000398,125,1257763,2,4,4,At Risk
1000399,12,125042,5,1,1,Potential
1000400,23,223635,4,2,2,Potential
1000401,42,415368,3,3,3,Loyal
1000402,160,1369174,1,5,5,At Risk
1000403,167,1694874,1,5,5,At Risk
1000404,31,291660,4,2,2,Potential
1000405,29,202171,4,2,1,Potential
1000406,78,721522,2,4,4,At Risk
1000407,17,162159,5,1,1,Potential
1000408,90,1010392,2,4,4,At Risk
1000409,163,1596446,1,5,5,At Risk
1000410,60,458754,3,3,3,Loyal
1000411,359,2617687,1,5,5,At Risk
1000412,255,2709935,1,5,5,At Risk
1000413,55,508477,3,3,3,Loyal
1000414,37,283915,4,2,2,Potential
1000415,155,1397756,1,5,5,At Risk
1000416,35,352175,4,2,2,Potential
1000417,16,171935,5,1,1,Potential
1000418,34,392719,4,2,3,Potential
1000419,64,642680,3,3,3,Loyal
1000420,41,417124,3,3,3,Loyal
1000421,11,133339,5,1,1,Potential
1000422,28,312281,4,2,2,Potential
1000423,38,243279,4,2,2,Potential
1000424,694,6573609,1,5,5,At Risk
1000425,112,980360,2,4,4,At Risk
1000426,133,1530944,2,4,5,At Risk
1000427,13,127915,5,1,1,Potential
1000429,206,2001630,1,5,5,At Risk
1000430,34,260170,4,2,2,Potential
1000431,44,442275,3,3,3,Loyal
1000432,36,238459,4,2,2,Potential
1000433,28,188322,4,2,1,Potential
1000434,26,222709,4,2,2,Potential
1000435,71,939617,3,3,4,Loyal
1000436,76,797161,2,4,4,At Risk
1000437,33,355512,4,2,2,Potential
1000438,322,2792161,1,5,5,At Risk
1000439,55,550292,3,3,3,Loyal
1000440,15,155137,5,1,1,Potential
1000441,30,367148,4,2,2,Potential
1000442,245,2258560,1,5,5,At Risk
1000443,22,249879,5,1,2,Potential
1000444,72,624479,3,3,3,Loyal
1000445,161,1584585,1,5,5,At Risk
1000446,31,327057,4,2,2,Potential
1000447,18,167098,5,1,1,Potential
1000448,12,100961,5,1,1,Potential
1000449,33,299601,4,2,2,Potential
1000450,28,256616,4,2,2,Potential
1000451,115,1175712,2,4,4,At Risk
1000452,74,860396,2,4,4,At Risk
1000453,227,2249709,1,5,5,At Risk
1000454,148,1163925,1,5,4,At Risk
1000455,14,139887,5,1,1,Potential
1000456,92,925531,2,4,4,At Risk
1000457,141,1259025,2,4,4,At Risk
1000458,23,232568,4,2,2,Potential
1000459,16,130631,5,1,1,Potential
1000460,23,134146,4,2,1,Potential
1000461,286,2533900,1,5,5,At Risk
1000462,105,954229,2,4,4,At Risk
1000463,69,400469,3,3,3,Loyal
1000464,56,509284,3,3,3,Loyal
1000465,17,130271,5,1,1,Potential
1000466,117,1121881,2,4,4,At Risk
1000467,40,276787,4,2,2,Potential
1000468,19,162635,5,1,1,Potential
1000469,27,296089,4,2,2,Potential
1000470,34,217114,4,2,2,Potential
1000471,61,696651,3,3,3,Loyal
1000473,33,274284,4,2,2,Potential
1000474,175,1533961,1,5,5,At Risk
1000476,230,2418970,1,5,5,At Risk
1000477,111,1455400,2,4,5,At Risk
1000478,27,246159,4,2,2,Potential
1000479,51,528144,3,3,3,Loyal
1000480,57,510684,3,3,3,Loyal
1000481,104,970092,2,4,4,At Risk
1000482,437,3539411,1,5,5,At Risk
1000483,23,155651,4,2,1,Potential
1000484,19,165929,5,1,1,Potential
1000485,28,224072,4,2,2,Potential
1000486,26,223784,4,2,2,Potential
1000487,27,212744,4,2,2,Potential
1000488,15,149115,5,1,1,Potential
1000489,13,110421,5,1,1,Potential
1000490,43,429694,3,3,3,Loyal
1000491,10,98030,5,1,1,Potential
1000492,15,111812,5,1,1,Potential
1000493,86,847881,2,4,4,At Risk
1000495,26,288597,4,2,2,Potential
1000496,68,885377,3,3,4,Loyal
1000497,18,147656,5,1,1,Potential
1000498,95,798943,2,4,4,At Risk
1000499,119,1039288,2,4,4,At Risk
1000500,53,351719,3,3,2,Loyal
1000501,38,323774,4,2,2,Potential
1000502,15,133861,5,1,1,Potential
1000503,16,166198,5,1,1,Potential
1000504,52,542744,3,3,3,Loyal
1000505,61,700756,3,3,4,Loyal
1000506,52,456450,3,3,3,Loyal
1000507,21,182769,5,1,1,Potential
1000508,80,867619,2,4,4,At Risk
1000509,407,3700604,1,5,5,At Risk
1000510,62,772191,3,3,4,Loyal
1000511,14,129493,5,1,1,Potential
1000512,23,158309,4,2,1,Potential
1000513,81,649629,2,4,3,At Risk
1000514,54,611777,3,3,3,Loyal
1000515,81,816456,2,4,4,At Risk
1000516,161,1211395,1,5,4,At Risk
1000517,91,753403,2,4,4,At Risk
1000518,135,1371614,2,4,5,At Risk
1000519,29,217590,4,2,2,Potential
1000520,168,1525678,1,5,5,At Risk
1000521,24,239839,4,2,2,Potential
1000522,30,354616,4,2,2,Potential
1000523,49,594269,3,3,3,Loyal
1000524,558,5212846,1,5,5,At Risk
1000525,24,245538,4,2,2,Potential
1000526,30,429409,4,2,3,Potential
1000527,12,86847,5,1,1,Potential
1000529,63,741420,3,3,4,Loyal
1000530,62,721232,3,3,4,Loyal
1000531,490,3662030,1,5,5,At Risk
1000532,16,188041,5,1,1,Potential
1000533,325,2940570,1,5,5,At Risk
1000534,55,543185,3,3,3,Loyal
1000535,11,100277,5,1,1,Potential
1000536,122,1407088,2,4,5,At Risk
1000538,30,379549,4,2,2,Potential
1000539,71,943076,3,3,4,Loyal
1000540,24,225269,4,2,2,Potential
1000541,111,975026,2,4,4,At Risk
1000543,346,3645949,1,5,5,At Risk
1000544,48,471881,3,3,3,Loyal
1000545,19,154036,5,1,1,Potential
1000546,129,898086,2,4,4,At Risk
1000547,49,537942,3,3,3,Loyal
1000548,71,587672,3,3,3,Loyal
1000549,632,6310723,1,5,5,At Risk
1000550,549,5327601,1,5,5,At Risk
1000551,141,1186481,2,4,4,At Risk
1000552,64,676472,3,3,3,Loyal
1000553,38,271979,4,2,2,Potential
1000554,18,126678,5,1,1,Potential
1000555,29,285501,4,2,2,Potential
1000556,128,1042396,2,4,4,At Risk
1000557,30,368912,4,2,2,Potential
1000559,11,96465,5,1,1,Potential
1000560,80,1116681,2,4,4,At Risk
1000561,19,156604,5,1,1,Potential
1000562,19,250763,5,1,2,Potential
1000563,195,1587214,1,5,5,At Risk
1000564,23,214222,4,2,2,Potential
1000565,14,100889,5,1,1,Potential
1000566,282,2114831,1,5,5,At Risk
1000567,43,692946,3,3,3,Loyal
1000568,17,213883,5,1,2,Potential
1000569,79,590043,2,4,3,At Risk
1000570,144,1217950,1,5,4,At Risk
1000571,69,799254,3,3,4,Loyal
1000572,10,60789,5,1,1,Potential
1000573,22,216145,5,1,2,Potential
1000574,11,132332,5,1,1,Potential
1000575,95,1076873,2,4,4,At Risk
1000576,37,383455,4,2,2,Potential
1000577,85,995681,2,4,4,At Risk
1000578,14,155087,5,1,1,Potential
1000579,39,370959,4,2,2,Potential
1000580,24,260686,4,2,2,Potential
1000581,33,282311,4,2,2,Potential
1000582,45,486957,3,3,3,Loyal
1000583,101,994853,2,4,4,At Risk
1000584,22,252795,5,1,2,Potential
1000585,85,885031,2,4,4,At Risk
1000586,17,245578,5,1,2,Potential
1000587,200,1363990,1,5,5,At Risk
1000588,262,2439560,1,5,5,At Risk
1000589,17,157733,5,1,1,Potential
1000590,99,971034,2,4,4,At Risk
1000591,130,1046568,2,4,4,At Risk
1000592,14,234872,5,1,2,Potential
1000593,52,395559,3,3,3,Loyal
1000594,90,705129,2,4,4,At Risk
1000595,58,543857,3,3,3,Loyal
1000596,23,163720,4,2,1,Potential
1000597,32,322597,4,2,2,Potential
1000598,18,160192,5,1,1,Potential
1000599,18,163975,5,1,1,Potential
1000600,17,138725,5,1,1,Potential
1000601,212,1648223,1,5,5,At Risk
1000602,88,912293,2,4,4,At Risk
1000603,37,376503,4,2,2,Potential
1000604,171,1807135,1,5,5,At Risk
1000605,64,700407,3,3,4,Loyal
1000606,21,181525,5,1,1,Potential
1000607,10,116019,5,1,1,Potential
1000608,90,718566,2,4,4,At Risk
1000609,27,418486,4,2,3,Potential
1000610,70,672522,3,3,3,Loyal
1000611,73,778813,2,4,4,At Risk
1000612,29,304029,4,2,2,Potential
1000613,50,406846,3,3,3,Loyal
1000615,54,708327,3,3,4,Loyal
1000616,27,304304,4,2,2,Potential
1000617,15,138586,5,1,1,Potential
1000618,30,227620,4,2,2,Potential
1000619,18,137325,5,1,1,Potential
1000620,94,751094,2,4,4,At Risk
1000622,41,394866,3,3,3,Loyal
1000623,88,1066019,2,4,4,At Risk
1000624,212,2126253,1,5,5,At Risk
1000625,22,168018,5,1,1,Potential
1000626,41,499249,3,3,3,Loyal
1000627,24,235462,4,2,2,Potential
1000628,26,190723,4,2,1,Potential
1000629,129,982182,2,4,4,At Risk
1000630,67,533034,3,3,3,Loyal
1000631,180,1709733,1,5,5,At Risk
1000632,16,198885,5,1,1,Potential
1000633,29,276233,4,2,2,Potential
1000634,47,397746,3,3,3,Loyal
1000635,85,764450,2,4,4,At Risk
1000636,56,677625,3,3,3,Loyal
1000637,200,1859809,1,5,5,At Risk
1000638,48,540502,3,3,3,Loyal
1000639,217,2205672,1,5,5,At Risk
1000640,14,131545,5,1,1,Potential
1000641,74,704608,2,4,4,At Risk
1000642,18,180949,5,1,1,Potential
1000643,38,231193,4,2,2,Potential
1000644,64,551849,3,3,3,Loyal
1000645,28,306771,4,2,2,Potential
1000646,150,1824299,1,5,5,At Risk
1000647,128,1188757,2,4,4,At Risk
1000648,100,908693,2,4,4,At Risk
1000649,43,470229,3,3,3,Loyal
1000650,27,353832,4,2,2,Potential
1000651,282,2690864,1,5,5,At Risk
1000652,76,680293,2,4,3,At Risk
1000653,15,111776,5,1,1,Potential
1000654,115,1125876,2,4,4,At Risk
1000655,227,1416120,1,5,5,At Risk
1000656,94,872746,2,4,4,At Risk
1000657,32,281715,4,2,2,Potential
1000658,60,436699,3,3,3,Loyal
1000659,66,541914,3,3,3,Loyal
1000661,41,539307,3,3,3,Loyal
1000662,65,581960,3,3,3,Loyal
1000663,57,652623,3,3,3,Loyal
1000664,95,940371,2,4,4,At Risk
1000665,17,122217,5,1,1,Potential
1000666,63,571074,3,3,3,Loyal
1000667,104,820045,2,4,4,At Risk
1000668,23,263331,4,2,2,Potential
1000669,243,2553500,1,5,5,At Risk
1000670,55,408086,3,3,3,Loyal
1000671,88,987638,2,4,4,At Risk
1000672,25,318478,4,2,2,Potential
1000673,215,1527383,1,5,5,At Risk
1000674,51,695104,3,3,3,Loyal
1000675,24,154311,4,2,1,Potential
1000676,221,1657010,1,5,5,At Risk
1000677,109,976018,2,4,4,At Risk
1000678,559,4998133,1,5,5,At Risk
1000679,47,519796,3,3,3,Loyal
1000680,21,187350,5,1,1,Potential
1000681,21,220000,5,1,2,Potential
1000682,47,558836,3,3,3,Loyal
1000683,23,284790,4,2,2,Potential
1000685,80,621455,2,4,3,At Risk
1000686,14,146182,5,1,1,Potential
1000687,183,1663970,1,5,5,At Risk
1000688,21,189431,5,1,1,Potential
1000689,72,609105,3,3,3,Loyal
1000690,106,1088071,2,4,4,At Risk
1000691,61,603718,3,3,3,Loyal
1000692,343,3630189,1,5,5,At Risk
1000693,39,416518,4,2,3,Potential
1000694,18,137199,5,1,1,Potential
1000695,121,1097834,2,4,4,At Risk
1000697,76,652657,2,4,3,At Risk
1000698,136,1319767,2,4,4,At Risk
1000700,19,226527,5,1,2,Potential
1000701,42,350283,3,3,2,Loyal
1000702,258,1994097,1,5,5,At Risk
1000703,12,102328,5,1,1,Potential
1000704,39,320894,4,2,2,Potential
1000705,74,684297,2,4,3,At Risk
1000706,77,575543,2,4,3,At Risk
1000707,36,401749,4,2,3,Potential
1000708,6,58625,5,1,1,Potential
1000709,49,272784,3,3,2,Loyal
1000710,500,4647555,1,5,5,At Risk
1000711,84,847538,2,4,4,At Risk
1000712,165,1789875,1,5,5,At Risk
1000713,137,1379308,2,4,5,At Risk
1000714,240,2766413,1,5,5,At Risk
1000715,55,550777,3,3,3,Loyal
1000717,23,191972,4,2,1,Potential
1000718,92,931448,2,4,4,At Risk
1000719,18,137902,5,1,1,Potential
1000720,128,1099069,2,4,4,At Risk
1000721,358,3513729,1,5,5,At Risk
1000722,32,319721,4,2,2,Potential
1000723,13,117807,5,1,1,Potential
1000724,78,783550,2,4,4,At Risk
1000725,36,377891,4,2,2,Potential
